Site #,Origin,Dominant_s,N_trees at,A_year,D_live_cm,H_live_m,G_live_m2_,f_Gs_cub_m,f_M_stem_kg_m2,f_M_stem_bark_kg_m2,f_M_crown_kg_m2,f_M_foliage_kg_m2,f_M_AG_kg_m2,Ln_Gs_cub_m,Ln_M_stem_kg_m2,Ln_M_stem_bark_kg_m2,Ln_M_crown_kg_m2,Ln_M_foliage_kg_m2,Ln_M_AG_kg_m2,F_Soil,M_Soil,X_N36,Y_N36,Cs_wood_Bq/kg,Sr_wood_Bq/kg,Ln_Cs_wood,Ln_Sr_wood,Cs_2021_kB,Sr_2021_kB,Tag_Cs,Tag_Sr,Ln_Tag_Cs,Ln_Tag_Sr,AEDR_count,AEDR_mean,Distance_k,Azimuth,r2020B01,r2020B02,r2020B03,r2020B04,r2020B05,r2020B06,r2020B07,r2020B08,r2020B09,r2020B10,r2020B11,r2020B12,r2020B13,r2019B01,r2019B02,r2019B03,r2019B04,r2019B05,r2019B06,r2019B07,r2019B08,r2019B09,r2019B10,r2019B11,r2019B12
44,n,Pine,33,30,16.6,8.5,14.3,74,2.84,0.7,0.804,0.27,3.91,4.3,1.04,-0.36,-0.22,-1.31,1.36,B,2,300058.58,5690931.645,35,633,3.6,6.5,557,242,0.1,2.6,-2.8,1,16,0.59,6.5,163,0.0326478937,0.0492476643,0.0476869785,0.1647948692,0.1853318272,0.1336549628,0.5488940126,-0.5111985766,0.0153049257,-16.649948517,-11.824106378,0.7109474887,0.4136445267,0.0250212506,0.0402437136,0.030232586,0.2036847384,0.1352881319,0.081454925,0.7416387423,-0.670051598,0.4289494552,-15.934256975,-13.056726659,0.8204968142
45,n,Pine,22,30,17.1,7.3,5,22,1.26,0.34,0.507,0.346,2.11,3.09,0.23,-1.08,-0.68,-1.06,0.75,B,2,300153.141,5690881.805,49,587,3.9,6.4,646,281,0.1,2.1,-2.6,0.7,18,0.73,6.5,162,0.0375301844,0.0529588791,0.0624802542,0.1634919782,0.2136319108,0.162730055,0.447511299,-0.4997594313,-0.0488453071,-21.45655349,-12.12774707,0.5655106581,0.2570113029,0.0331997254,0.049794276,0.0456988425,0.1958238529,0.1936830309,0.1283957859,0.6216049442,-0.5946248458,0.2081660012,-20.646801884,-12.17036575,0.5899743628
46,n,Pine,23,35,14.2,6.9,3.6,12,0.84,0.26,0.371,0.066,1.27,2.48,-0.17,-1.35,-0.99,-2.72,0.24,B,2,300301.55,5691031.5,52,435,4,6.1,680,294,0.1,1.5,-2.6,0.4,32,0.8,6.4,160,0.0297489083,0.0478507692,0.0435130822,0.1995731095,0.1954739679,0.1160469441,0.6420361526,-0.6148671041,0.2825028693,-18.403052317,-12.047244323,0.6555049347,0.0174495517,0.0328230927,0.0504561146,0.0423225208,0.2080554923,0.1912303393,0.1120349399,0.6619456959,-0.6097941506,0.2999524194,-18.91928682,-13.043768325,0.6900898069
47,n,Pine,37,120,41.5,31.1,48.7,632,22.83,1.62,2.684,0.715,26.23,6.45,3.13,0.48,0.99,-0.34,3.27,B,2,289490.778,5695898.373,1040,2270,6.9,7.7,1941,396,0.5,5.7,-0.6,1.7,111,2.33,8.7,262,0.0196941383,0.0296254976,0.0216397338,0.1504101221,0.0818159096,0.0388813074,0.7490140506,-0.6704726579,0.6237626094,-15.2462348,-10.416476522,0.6830493612,-0.0145656207,0.0180850445,0.0316901624,0.0210560412,0.161771945,0.0852832563,0.0392191997,0.7695230965,-0.6722873495,0.6091970048,-14.329178733,-10.606643081,0.7399447584
48,a,Pine,45,95,34.1,29.8,40.3,567,23.41,1.56,1.381,0.587,25.38,6.34,3.15,0.44,0.32,-0.53,3.23,B,2,289288.308,5695846.542,979,3300,6.9,8.1,1633,325,0.6,10.2,-0.5,2.3,15,1.89,8.9,262,0.0227339782,0.0341773063,0.0235175989,0.1758041664,0.094423121,0.0440103972,0.7641155403,-0.6587135272,0.5721160228,-14.834795317,-10.35615457,0.6985127706,-0.0320989087,0.0201046235,0.0333312121,0.024090777,0.1716760382,0.1034341004,0.0511213586,0.7536289348,-0.6745428387,0.5400171253,-14.807456117,-10.190520434,0.6887033989
49,a,Spruce,45,70,29.5,30.8,52,619,23.83,5.23,4.105,1.043,28.98,6.43,3.17,1.65,1.41,0.04,3.37,C,3,289194.799,5695750.678,177,2400,5.2,7.8,1963,394,0.1,6.1,-2.4,1.8,142,2.48,9,261,0.0183464135,0.0270126082,0.0190069642,0.1807191827,0.0889305054,0.0416585214,0.8082226014,-0.7120358836,0.6059816902,-16.311332058,-9.4382657681,0.5795280135,0.0541740066,0.0146793254,0.0264018696,0.0165335096,0.1895072338,0.0888901711,0.0386893423,0.8391474811,-0.754798485,0.66015569,-16.06056174,-8.6801771533,0.5415394232
50,n,Alder,33,65,27.4,24.3,19.4,199,9.9,0.81,0.476,0.13,10.51,5.29,2.29,-0.21,-0.74,-2.04,2.35,C,4,288936.452,5695908.894,1033,1450,6.9,7.3,1710,351,0.6,4.1,-0.5,1.4,46,2.08,9.3,263,0.0197423285,0.0309418663,0.0213681692,0.2270196467,0.1456829633,0.0686117144,0.8283451808,-0.759340676,0.6139544936,-16.688851901,-10.81551287,0.648952097,0.0267452183,0.0160536165,0.0311452218,0.0171874232,0.2669280572,0.1351602638,0.058326484,0.8788497572,-0.7905599244,0.6406997041,-15.880132206,-9.8936447718,0.6234497195
51,n,Pine,33,85,34.1,33.4,60.1,671,25.04,1.97,2.735,0.656,28.43,6.51,3.22,0.68,1.01,-0.42,3.35,C,3,289080.825,5695703.807,400,1960,6,7.6,1740,349,0.2,5.6,-1.5,1.7,33,2.16,9.2,261,0.0209134894,0.033190564,0.021380029,0.209471949,0.0984681156,0.0435439566,0.8148141126,-0.7193791618,0.6622003443,-15.082789144,-10.930729078,0.7256086367,0.0193426004,0.0188699272,0.0337544431,0.0197870402,0.2105273023,0.0911166639,0.0398275444,0.828115929,-0.7235772415,0.6815429468,-13.826608176,-10.415620609,0.7543583646
52,n,Alder,30,85,32.9,26.5,49.3,549,20.72,3.23,1.844,0.316,22.88,6.31,3.03,1.17,0.61,-1.15,3.13,C,4,289282.892,5695664.822,360,2060,5.9,7.6,2220,443,0.2,4.7,-1.8,1.5,52,2.78,9,261,0.0207908966,0.0335732691,0.0200890269,0.2272040943,0.137607046,0.0630592223,0.8374317489,-0.7667453555,0.5934919774,-15.239814931,-11.26870283,0.7390310072,0.0356812703,0.018260304,0.0349879155,0.0187082442,0.2738939246,0.1450828951,0.0623110346,0.8720258316,-0.7733752126,0.6291732488,-15.247779314,-10.226677205,0.6702936749
53,n,Birch,30,50,21.8,19.7,22.5,208,9.84,0.99,1.161,0.197,11.2,5.34,2.29,-0.01,0.15,-1.62,2.42,C,3,305078.47,5703098.41,550,2320,6.3,7.7,632,206,0.9,11.3,-0.1,2.4,40,0.73,9.2,49,0.0149496292,0.028445359,0.0185292942,0.2641282371,0.1244977872,0.0539430711,0.8683957714,-0.7776697541,0.6533211511,-15.366964426,-9.7223609515,0.6327493548,0.007198464,0.0213024547,0.0367220481,0.0233746129,0.2807484449,0.1303078663,0.0573554767,0.846224064,-0.7684540483,0.6605196417,-14.28420545,-8.6247391206,0.6039717013
54,a,Pine,60,58,16.8,21.7,52.2,476,19.45,1.49,2.541,0.689,22.68,6.17,2.97,0.4,0.93,-0.37,3.12,B,2,305116.413,5703117.135,1600,4780,7.4,8.5,695,225,2.3,21.2,0.8,3.1,33,0.82,9.2,49,0.0170581787,0.0302974546,0.0206065961,0.207760222,0.1022663947,0.0462747586,0.8199529738,-0.7305503177,0.6026306393,-16.772099,-11.255331459,0.6712283229,-0.0537600068,0.023753039,0.0349953426,0.0248185223,0.1769318574,0.1023480313,0.0515074554,0.7536226747,-0.6695267935,0.5488706521,-15.777074753,-10.003849808,0.6343686721
55,a,Pine,44,58,11.6,15.1,44.4,293,11.54,0.77,1.515,0.861,13.92,5.68,2.45,-0.26,0.42,-0.15,2.63,B,1,305127.038,5703144.748,1740,6150,7.5,8.7,735,238,2.4,25.8,0.9,3.3,37,0.88,9.2,49,0.0167032406,0.031052771,0.02052044,0.1812449682,0.093694556,0.0464121316,0.796121905,-0.6757989392,0.4550838721,-15.721372907,-9.2331008257,0.5873578991,-0.002020595,0.024468815,0.0360216511,0.0287179516,0.159066622,0.1098902017,0.0595927933,0.6920141513,-0.6293169133,0.4530632752,-14.80624573,-7.7966412257,0.5265990235
56,a,Pine,56,58,8.2,8.2,29.6,120,4.04,0.55,0.667,0.514,5.22,4.79,1.4,-0.6,-0.4,-0.67,1.65,A,1,305150.987,5703154.682,1080,9100,7,9.1,770,249,1.4,36.5,0.3,3.6,34,0.91,9.3,49,0.0206332864,0.0352194661,0.0301060901,0.1718600416,0.1255087163,0.0780081645,0.7054697125,-0.4646351361,0.2233458405,-15.918880496,-11.016835909,0.6914424094,0.0305611984,0.0368515011,0.0502915147,0.0486439298,0.1678957103,0.1517308924,0.1016865957,0.5587690494,-0.5442615185,0.2539070414,-15.237080778,-9.7885352917,0.6412995871
57,n,Alder,83,70,26,23.9,43.1,462,20.13,2.4,1.157,0.487,21.77,6.14,3,0.88,0.15,-0.72,3.08,C,3,305756.147,5697987.847,1220,526,7.1,6.3,552,146,2.2,3.6,0.8,1.3,82,0.54,7.7,83,0.0209125908,0.0385377756,0.0220786501,0.3218589737,0.1605598809,0.0718594215,0.8716872519,-0.7765544026,0.6395794753,-15.004770834,-8.4402819274,0.5625563128,0.0158308109,0.0201050092,0.0389763989,0.0211362284,0.3234223548,0.1564138295,0.0672949811,0.8771608458,-0.7846630622,0.6554102984,-15.884458179,-9.1580447287,0.5762277833
58,a,Pine,59,60,22.6,23.8,45.5,517,18.32,1.11,1.455,0.882,20.66,6.25,2.91,0.1,0.38,-0.13,3.03,B,2,305839.655,5698110.926,910,2600,6.8,7.9,543,145,1.7,17.9,0.5,2.9,161,0.65,7.8,83,0.0224076007,0.0368302224,0.0264775725,0.1808366721,0.1035073212,0.0534806148,0.744914556,-0.6478793418,0.5018171746,-14.469241255,-9.0346030728,0.6250560775,0.1105565455,0.0223631356,0.0345321911,0.0223048849,0.193636673,0.0954441297,0.0465356284,0.7933275655,-0.6973500273,0.6123737222,-14.384298116,-9.4945328661,0.6609534636
59,a,Pine,30,60,13.7,14.2,39.8,266,10.27,0.83,1.405,0.677,12.36,5.58,2.33,-0.19,0.34,-0.39,2.51,A,1,305463.253,5697958.068,2200,4660,7.7,8.4,538,142,4.1,32.8,1.4,3.5,22,0.64,7.4,83,0.0206589151,0.0344088904,0.0237948776,0.1994717071,0.0984156574,0.0483106376,0.7860484204,-0.7029184423,0.6280704957,-16.387646326,-11.331496866,0.6907942389,-0.1098733124,0.0249028015,0.0410723527,0.030214486,0.1988988193,0.1171291963,0.0630645663,0.7365483548,-0.6576596556,0.5181971819,-14.796167335,-11.181501345,0.7548378188
60,a,Pine,36,60,13.4,16.7,48.2,345,13.22,0.84,1.883,0.639,15.75,5.84,2.58,-0.17,0.63,-0.45,2.76,A,2,305474.638,5697908.468,2800,6200,7.9,8.7,537,141,5.2,44,1.7,3.8,27,0.63,7.4,84,0.0213473621,0.03536518,0.0228776825,0.19863842,0.0920907046,0.0447586931,0.7939601109,-0.7008980697,0.634210993,-16.011660812,-10.666430702,0.6664754835,-0.0857065969,0.0231190803,0.0372846885,0.0273130459,0.1825116246,0.1059590657,0.0532195615,0.7396540355,-0.6608104887,0.5485043874,-14.860537472,-10.022714949,0.6747142224
61,a,Pine,33,43,19,20.3,30.7,319,12.76,0.96,1.188,0.698,14.65,5.77,2.55,-0.04,0.17,-0.36,2.68,A,2,302631.832,5702375.722,1250,1570,7.1,7.4,1017,362,1.2,4.3,0.2,1.5,53,1.24,6.9,40,0.0186934758,0.0318135558,0.0209665022,0.1932876835,0.0898967139,0.0421113112,0.8040815708,-0.725278967,0.6388553487,-16.873561433,-11.41841215,0.678549284,-0.0412684697,0.0226833521,0.0349494598,0.0231919745,0.1788216066,0.0909442032,0.0450526931,0.7704011983,-0.6729849877,0.5975868603,-16.235075475,-11.6017239,0.7167397733
62,a,Pine,46,43,15,14.5,32.5,236,9.33,0.9,1.108,0.572,11.01,5.46,2.23,-0.11,0.1,-0.56,2.4,A,2,302578.101,5702440.239,820,9290,6.7,9.1,1078,386,0.8,24.1,-0.3,3.2,43,1.32,6.9,40,0.0183115558,0.0345562738,0.0217296792,0.2004089217,0.0937396071,0.0434679619,0.8043909251,-0.7050480829,0.6293666244,-14.94091782,-10.147450696,0.6790207736,-0.0833559904,0.0246298154,0.0377997903,0.0291323518,0.186135089,0.1065901139,0.0545544487,0.7286457248,-0.6620175136,0.5460106352,-13.938330213,-10.202489299,0.7318627492
63,n,Birch,37,20,7.3,12.7,15.6,111,4.83,0.62,0.949,0.136,5.92,4.71,1.57,-0.48,-0.05,-2,1.78,C,3,302762.402,5702441.09,480,1400,6.2,7.2,906,323,0.5,4.3,-0.6,1.5,60,1.09,7.1,41,0.0183375352,0.0333464722,0.0246550891,0.2586463204,0.162276663,0.0751506237,0.8255806262,-0.7478225086,0.5148667071,-16.7441167,-9.8974150801,0.592578554,0.1293938827,0.0220205607,0.0368628889,0.0232697854,0.2881279096,0.1437002815,0.0622881304,0.8506380787,-0.7730910688,0.6442605874,-16.641796156,-10.131587645,0.6104118952
64,n,Birch,58,30,16.7,18.6,24.9,217,10.9,1.22,1.466,0.269,12.63,5.38,2.39,0.2,0.38,-1.31,2.54,B,2,302721.269,5702328.334,855,4730,6.8,8.5,944,336,0.9,14.1,-0.1,2.6,52,1.13,6.9,41,0.0190144477,0.0361930165,0.0301059935,0.2267469398,0.1668168609,0.0808851177,0.7654128129,-0.7029448699,0.4042148728,-15.640200093,-10.426589866,0.6665284392,0.0363190896,0.0255591667,0.0406182334,0.0316066725,0.2271344747,0.1678872994,0.0878856886,0.7544350958,-0.6957325365,0.4405339571,-14.555394971,-10.473914979,0.7192145667
65,n,Oak,24,64,29.1,22.5,30.5,313,18.99,3.3,3.481,0.353,22.83,5.75,2.94,1.19,1.25,-1.04,3.13,B,3,302612.925,5702264.021,2330,710,7.8,6.6,1154,409,2,1.7,0.7,0.6,36,1.29,6.8,41,0.0168303039,0.0325404858,0.0181065363,0.2682572039,0.1386974042,0.0618643451,0.8734322776,-0.7858209891,0.6146540058,-15.555503094,-8.9967332518,0.5794501915,0.0353280557,0.0203764236,0.0344813488,0.0195932898,0.2853407523,0.1402024891,0.0604835337,0.871297751,-0.784420856,0.6499820622,-15.110775779,-8.6350841569,0.5723232102
66,a,Pine,50,56,17.2,21.4,39,408,16.37,1.04,1.717,0.681,18.77,6.01,2.8,0.04,0.54,-0.38,2.93,B,2,302311.125,5702381.564,620,700,6.4,6.6,1290,461,0.5,1.5,-0.7,0.4,23,1.51,6.7,38,0.0161835857,0.0280728009,0.0183216745,0.1741009404,0.0807753155,0.0393055721,0.8083300829,-0.7215413104,0.6550682536,-17.505229033,-11.425598701,0.6528795852,-0.058711503,0.0213467072,0.0325809189,0.0229522062,0.17861722,0.0884113732,0.0450210915,0.7716909253,-0.6909530411,0.5963567672,-16.855354698,-10.836456764,0.6431424496
67,n,Pine,32,64,21.4,24.8,43,486,20.03,1.28,0.951,0.514,21.5,6.19,3,0.25,-0.05,-0.67,3.07,B,2,302518.648,5702343.872,944,11300,6.9,9.3,1147,410,0.8,27.6,-0.2,3.3,23,1.37,6.8,40,0.0185511255,0.0338238126,0.0215559213,0.232680665,0.1129421573,0.0532251008,0.8301373758,-0.7465616319,0.6128911679,-15.805305796,-9.826819419,0.6219152596,-0.0052027892,0.0220778952,0.0350408958,0.0233210735,0.2300074077,0.1210733931,0.0560033281,0.815152235,-0.7347747378,0.6076883569,-14.973135725,-10.019208521,0.669430738
68,n,Birch,60,64,26.2,22,24.8,237,11.96,1.18,1.344,0.205,13.51,5.47,2.48,0.17,0.3,-1.58,2.6,B,3,302483.171,5702306.411,420,2360,6,7.8,1145,408,0.4,5.8,-1,1.8,35,1.38,6.8,40,0.0157778097,0.0265664366,0.0168193977,0.2185247309,0.1174302768,0.052745473,0.8571768136,-0.783053902,0.6061782413,-15.794218651,-10.296038657,0.6518666866,0.0317842683,0.0208737824,0.0344080229,0.0216712792,0.2646875717,0.1340891402,0.0584169923,0.848670626,-0.7698366535,0.6379625042,-15.271652191,-10.180742297,0.6666320976
69,n,Pine,17,18,7.6,5,1.4,6,0.19,0.05,0.267,0.074,0.53,1.79,-1.66,-3,-1.32,-2.6,-0.63,A,1,293476.42,5696625.491,30600,323600,10.3,12.7,25173,10477,1.2,30.9,0.2,3.4,23,36.59,4.7,264,0.0520625663,0.0688918405,0.0806147736,0.1797866907,0.2436674202,0.1874273826,0.381332813,-0.4547381622,0.0381977759,-20.756525559,-14.25582726,0.6866629412,-0.0756754873,0.053997993,0.0700409742,0.0787156151,0.1821914835,0.252486921,0.1965442369,0.3973704691,-0.4454022778,-0.0374777108,-21.364088819,-15.621151116,0.7320600452
70,n,Birch,64,20,6.2,8.8,3.8,26,1.39,0.31,0.364,0.114,1.87,3.26,0.33,-1.17,-1.01,-2.17,0.63,A,1,293530.887,5696679.485,30700,1050000,10.3,13.9,22915,9952,1.3,105.5,0.3,4.7,175,28.71,4.6,265,0.0373663944,0.0512599095,0.0568988287,0.1972046331,0.2160645894,0.1385807392,0.5519516792,-0.6080859413,0.2327449838,-17.184720294,-12.729732745,0.7416758492,-0.0471522553,0.0324514328,0.0496801818,0.0497129193,0.1917887495,0.2080137629,0.1317582166,0.5878533078,-0.5880769091,0.1855927335,-17.124004613,-12.905362728,0.7539284904
71,a,Pine,53,45,13.4,13.3,28.3,193,7.54,0.71,1.02,0.753,9.31,5.26,2.02,-0.34,0.02,-0.28,2.23,A,2,293613.852,5696790.186,31900,80000,10.4,11.3,7692,3336,4.1,24,1.4,3.2,34,9.28,4.5,266,0.019185998,0.0299348544,0.0222738379,0.1714367579,0.09953003,0.0488174449,0.7700322975,-0.7289851687,0.6429882559,-14.95953136,-10.161438528,0.6799762065,-0.0552876401,0.022253623,0.0363124139,0.0241080733,0.2099040174,0.1068800289,0.0543572857,0.7936114961,-0.7048570097,0.5877006127,-14.374462969,-9.4300651239,0.657165926
72,a,Pine,49,59,19.6,21.3,54.3,469,20.59,1.6,2.181,0.704,23.47,6.15,3.02,0.47,0.78,-0.35,3.16,A,2,293548.263,5696752.691,10100,37300,9.2,10.5,10521,4547,1,8.2,0,2.1,27,12.85,4.6,266,0.0225966902,0.0362202163,0.0260701328,0.2119764477,0.0948457496,0.0456846076,0.7811623003,-0.7082411817,0.6509971005,-16.795059651,-10.265749081,0.6111775139,-0.0178321724,0.0251899837,0.039463882,0.0265942495,0.2101590509,0.0934077648,0.0472413127,0.7752966921,-0.6837726621,0.6331649406,-16.600866212,-8.8328999795,0.532030886
73,n,Pine,42,15,6.4,6.7,13.5,53,2.04,0.5,0.415,0.478,2.93,3.97,0.71,-0.69,-0.88,-0.74,1.08,A,2,293527.779,5696788.704,24000,87700,10.1,11.4,7482,3252,3.2,27,1.2,3.3,62,9.31,4.6,266,0.0252143934,0.0349535545,0.0298459303,0.1602099984,0.0982621446,0.057863099,0.6834724722,-0.631274426,0.2321070064,-16.773581096,-12.096885828,0.7219084065,0.0834395482,0.0267380375,0.0364649982,0.03282752,0.1403090225,0.120458433,0.0732109515,0.6339784167,-0.5923878058,0.3155465512,-16.348622762,-11.515227074,0.7020217853
74,a,Pine,62,59,14.4,15.9,37.6,281,10.78,0.87,1.232,0.855,12.87,5.64,2.38,-0.14,0.21,-0.16,2.55,A,2,293457.819,5696766.092,35200,87400,10.5,11.4,9636,4117,3.7,21.2,1.3,3.1,60,12.06,4.7,266,0.0224738317,0.0334779469,0.0224038096,0.1888390389,0.0969173496,0.0485667005,0.7865507993,-0.7120564471,0.5706725016,-16.063248812,-11.561605845,0.7211930631,-0.015951998,0.0236902362,0.0367787488,0.0254302747,0.1976598115,0.1024712996,0.0563184287,0.770655554,-0.6851087885,0.5547205254,-16.013366934,-10.571340068,0.6614463842
75,a,Pine,53,59,17,20.7,31.6,367,12.5,1,1.027,0.634,14.16,5.91,2.53,0,0.03,-0.46,2.65,B,2,293419.435,5696801.782,14200,37500,9.6,10.5,6704,2807,2.1,13.4,0.8,2.6,16,7.66,4.7,266,0.0240581094,0.0308491226,0.0275396947,0.1401099654,0.1142838799,0.0684413532,0.6667214385,-0.6124018427,0.3008292051,-15.251960923,-9.2432065079,0.6068635024,-0.0380089426,0.0279201315,0.0406988747,0.037041351,0.1542960379,0.1481318103,0.0901879197,0.612180187,-0.5823149857,0.2628202652,-15.719144101,-8.1242179772,0.5173088467
76,a,Pine,47,70,22.5,26.8,66.9,558,22.62,2.09,1.927,0.699,25.25,6.32,3.12,0.74,0.66,-0.36,3.23,B,2,293468.604,5696911.271,987,5100,6.9,8.5,1516,620,0.7,8.2,-0.4,2.1,100,1.52,4.7,268,0.0203694675,0.0291615856,0.021505293,0.160808392,0.0818311451,0.0394491936,0.7657134182,-0.6902170736,0.5593337374,-15.905417429,-10.474454817,0.658638959,-0.0503776081,0.0236462109,0.0352871695,0.0287806946,0.1719324037,0.107886129,0.0556295524,0.717231227,-0.6612678603,0.5089561326,-16.380830588,-10.083383811,0.6155531417
77,a,Pine,40,35,18.6,16.1,43.6,278,12.83,0.89,1.706,0.888,15.42,5.63,2.55,-0.12,0.53,-0.12,2.74,A,2,293223.891,5696823.578,7070,37900,8.9,10.5,5265,2129,1.3,17.8,0.3,2.9,35,5.79,4.9,267,0.0246402873,0.0341474684,0.0304990761,0.1625372032,0.1123986432,0.061555878,0.6831547318,-0.6921259114,0.4948292869,-15.41591543,-11.35663183,0.7395740155,-0.0463495252,0.0242057699,0.0379561739,0.0294862696,0.194196118,0.1265650877,0.0736575512,0.7359163091,-0.6726313359,0.4484797602,-14.89726627,-11.675263092,0.7875573794
78,n,Birch,21,30,18.2,17.7,21.8,185,9.75,1.15,1.206,0.18,11.13,5.22,2.28,0.14,0.19,-1.71,2.41,B,2,292970.005,5696776.243,11800,44100,9.4,10.7,7629,3018,1.5,14.6,0.4,2.7,79,8.23,5.2,266,0.0232911597,0.0384230523,0.0267415192,0.250458571,0.171689734,0.0813124403,0.8088788393,-0.7047109212,0.4428035824,-18.021266686,-10.015785033,0.5567352514,0.100277031,0.0235597875,0.039386866,0.0286269096,0.2804671186,0.1718335173,0.083936354,0.8155785047,-0.7540029067,0.5430806118,-17.082799914,-8.8615959382,0.5193194778
79,n,Alder,33,45,17.8,20.2,30.8,311,13.93,1.97,0.759,0.315,15.01,5.74,2.63,0.68,-0.28,-1.16,2.71,B,4,293025.973,5696850.799,10800,2100,9.3,7.6,3570,1325,3,1.6,1.1,0.5,25,3.78,5.1,267,0.0234563974,0.0407148795,0.0230590373,0.3693383173,0.1669999363,0.0706751918,0.8819330697,-0.7973941685,0.6638177652,-14.368990727,-8.9207594345,0.6208142047,0.0244343774,0.0209081913,0.0352351797,0.0185848505,0.3458466741,0.1556737302,0.0637551718,0.8980134167,-0.8149831509,0.6882521568,-13.754852286,-8.4053851326,0.6110676882
80,n,Birch,31,25,11.2,14.1,12.2,89,4.7,0.85,0.713,0.114,5.53,4.49,1.55,-0.16,-0.34,-2.17,1.71,B,2,293038.441,5696680.858,15500,74800,9.6,11.2,15063,6068,1,12.3,0,2.5,38,16.95,5.1,265,0.0285971591,0.0469255715,0.0405526928,0.2576870693,0.1777024784,0.0882112143,0.7283250765,-0.7063085767,0.498908523,-16.588676623,-10.490314042,0.6329633645,-0.0009283789,0.0257877481,0.0437426763,0.0319418846,0.2474529364,0.1677518811,0.0827729044,0.770786592,-0.6995000264,0.4979801364,-17.094006957,-10.013228585,0.5867463217
81,n,Pine,27,150,41.3,27.3,36.2,441,18.54,1.46,2.144,0.637,21.32,6.09,2.92,0.38,0.76,-0.45,3.06,B,2,291113.815,5696491.703,10600,14900,9.3,9.6,7767,2040,1.4,7.3,0.3,2,26,13.16,7.1,265,0.022309311,0.0362143954,0.0238977838,0.1906248542,0.0895026398,0.0425434509,0.7771443822,-0.6849443552,0.6358432155,-14.89884408,-9.8796666291,0.6632685284,-0.0092342381,0.020669859,0.0363767288,0.0213869415,0.1916523996,0.0943266998,0.0439233443,0.7995696145,-0.680717459,0.6266089606,-14.294848998,-8.9706396268,0.6277285204
82,a,Pine,63,48,15.8,18.1,43,379,15.38,0.96,1.576,0.8,17.76,5.94,2.73,-0.04,0.45,-0.22,2.88,A,1,305261.308,5698816.791,1220,3100,7.1,8,608,152,2,20.4,0.7,3,92,0.57,7.3,76,0.0224647221,0.0356331733,0.0267143886,0.2025662096,0.1066464649,0.0560971479,0.7675028202,-0.6912962661,0.48238583,-13.846367573,-10.868680212,0.7887667043,0.0148131498,0.0253386444,0.0387708009,0.028392956,0.1960897625,0.1170889117,0.0664875799,0.7469770093,-0.6697243276,0.4971989763,-14.974533828,-10.299302607,0.6887958414
83,a,Pine,67,60,16.9,20.4,51.4,409,18.9,1.26,1.663,0.703,21.26,6.01,2.94,0.23,0.51,-0.35,3.06,A,2,305154.213,5698857.657,920,3050,6.8,8,647,162,1.4,18.8,0.4,2.9,57,0.63,7.2,76,0.021351251,0.035476334,0.0245544395,0.1974357624,0.09864778,0.0478180259,0.7790658517,-0.6900124997,0.5887678539,-15.756649857,-10.526997399,0.6681226953,-0.0044307581,0.0213945935,0.0352261288,0.0238922459,0.1875173874,0.0986793542,0.0491656654,0.7739257033,-0.6837515207,0.5843370848,-14.935895801,-10.331325813,0.6917268591
84,n,Birch,54,45,15.3,18.5,35.4,280,15.47,1.94,1.816,0.256,17.55,5.63,2.74,0.66,0.6,-1.36,2.87,C,4,305127.828,5699008.463,93,1260,4.5,7.1,669,187,0.1,6.7,-2,1.9,81,0.64,7.2,75,0.0150369014,0.0316950308,0.0215121383,0.2431176807,0.1333509757,0.0620806405,0.8377129466,-0.7443694448,0.5257117052,-16.221515766,-10.189111516,0.6290790477,0.0896064719,0.0212955667,0.0358666938,0.024184614,0.2678579349,0.1337939731,0.0634786927,0.833606907,-0.7627802579,0.6153181749,-15.31974782,-9.3899585945,0.6139236772
85,n,Birch,56,20,5,10,10.7,57,3.45,0.65,0.739,0.288,4.47,4.04,1.24,-0.43,-0.3,-1.24,1.5,C,3,305243.982,5699093.801,214,2500,5.4,7.8,646,185,0.3,13.5,-1.1,2.6,34,0.63,7.4,74,0.0204336036,0.0377295424,0.0312334371,0.26409612,0.1818909948,0.0871315253,0.7894439764,-0.7782793059,0.5538626067,-15.952600715,-12.843245247,0.8053313193,-0.033952497,0.0218702775,0.0357365876,0.0255473689,0.255324879,0.1693371737,0.0805281571,0.8175259725,-0.753984045,0.5199101078,-15.686456518,-11.788441484,0.7510185873
86,a,Pine,59,31,16.5,17.5,48.6,338,16.09,0.96,1.907,0.768,18.77,5.82,2.78,-0.04,0.65,-0.26,2.93,A,2,301791.627,5703005.516,1600,12600,7.4,9.4,1576,596,1,21.1,0,3.1,137,1.2,6.9,32,0.0200164923,0.0350758729,0.0247006146,0.2032561609,0.1077766513,0.0510920296,0.7842759826,-0.7091865575,0.6105165206,-15.768271776,-10.362134403,0.6572006682,-0.092234753,0.0250555031,0.0366909228,0.0288458786,0.1796257986,0.111227738,0.0569654516,0.7233351121,-0.6607751257,0.5182817928,-15.478088733,-9.3577103168,0.6046342081
